Nov 05 13:04:25 2017, 927159669239431168, -26.2044,28.0456
Nov 05 13:02:50 2017, 927159268771549184, -26.235493,27.98216694
Nov 05 13:00:38 2017, 927158717195456514, -26.20397928,28.06364525
Nov 05 12:59:43 2017, 927158485250215936, -26.2382393,28.0098
Nov 05 12:52:31 2017, 927156672648372225, -26.2753118,28.0058078
Nov 05 12:50:56 2017, 927156277167390727, -26.20898269,28.06639897
Nov 05 12:43:43 2017, 927154458831630336, -26.20438,28.05966
Nov 05 12:38:49 2017, 927153227602132993, -26.2,28.04
Nov 05 12:38:27 2017, 927153133813452800, -26.2044,28.0456
Nov 05 12:38:19 2017, 927153102142058496, -26.2041028,28.0473051
Nov 05 12:35:35 2017, 927152414196715520, -26.235223,27.982257
Nov 05 12:30:33 2017, 927151144488652800, -26.2044,28.0456
Nov 05 12:27:16 2017, 927150320026652672, -26.2049,28.04
Nov 05 12:19:57 2017, 927148477531820034, -26.2657342,28.0585696
Nov 05 12:19:23 2017, 927148336351674369, -26.2044,28.0456
Nov 05 12:02:33 2017, 927144100922560513, -26.20829984,28.03712262
Nov 05 11:56:41 2017, 927142622702874625, -26.2044,28.0456
Nov 05 11:44:28 2017, 927139550157312000, -26.1925676,28.0381976
Nov 05 11:41:39 2017, 927138838249697280, -26.2044,28.0456
Nov 05 11:39:05 2017, 927138194444963840, -26.19825569,28.06428552
Nov 05 11:35:13 2017, 927137220456095744, -26.234806,27.982378
Nov 05 11:31:15 2017, 927136222119464960, -26.235493,27.98216694
Nov 05 11:30:33 2017, 927136044905930753, -26.234806,27.982378
Nov 05 11:28:09 2017, 927135443191136259, -26.2049,28.04
Nov 05 11:27:29 2017, 927135273992978432, -26.2044,28.0456
Nov 05 11:24:59 2017, 927134647485714432, -26.2044,28.0456
Nov 05 11:24:51 2017, 927134612148670465, -26.2,28.03333333
Nov 05 11:24:49 2017, 927134602983915520, -26.235493,27.98216694
Nov 05 11:23:59 2017, 927134392530735104, -26.20429924,28.05881802
Nov 05 11:23:05 2017, 927134167183364098, -26.235493,27.98216694
Nov 05 11:20:06 2017, 927133416591626242, -26.235493,27.98216694
Nov 05 11:18:19 2017, 927132969327906817, -26.2044,28.0456
Nov 05 11:16:21 2017, 927132470956322817, -26.2032772,28.0603082
Nov 05 11:14:34 2017, 927132024325914625, -26.235493,27.98216694
Nov 05 11:11:58 2017, 927131368974319616, -26.234806,27.982378
Nov 05 11:09:16 2017, 927130689178406913, -26.234806,27.982378
Nov 05 11:08:05 2017, 927130392297070592, -26.2044,28.0456
Nov 05 11:01:14 2017, 927128669968928768, -26.2041028,28.0473051
Nov 05 10:54:36 2017, 927127000636039168, -26.2044,28.0456
Nov 05 10:50:15 2017, 927125905121542144, -26.2041028,28.0473051
Nov 05 10:48:55 2017, 927125569904443392, -26.24,27.98
Nov 05 10:46:12 2017, 927124883766571009, -26.2041028,28.0473051
Nov 05 10:43:28 2017, 927124198174220288, -26.234806,27.982378
Nov 05 10:41:20 2017, 927123660640415744, -26.2044,28.0456
Nov 05 10:40:00 2017, 927123325607972864, -26.1916197,28.0471688
Nov 05 10:39:40 2017, 927123239532417024, -26.234806,27.982378
