date, followers, following, tweets
Tue Jun 06 2017 17:00:01 GMT+0200 (SAST), 3160, 2151, 11970
Tue Jun 06 2017 18:00:02 GMT+0200 (SAST), 3160, 2151, 11970
Tue Jun 06 2017 19:07:31 GMT+0200 (SAST), 3161, 2151, 11970
Tue Jun 06 2017 20:00:02 GMT+0200 (SAST), 3161, 2151, 11971
Tue Jun 06 2017 21:00:02 GMT+0200 (SAST), 3161, 2151, 11971
Tue Jun 06 2017 22:00:02 GMT+0200 (SAST), 3161, 2151, 11972
Wed Jun 07 2017 08:46:59 GMT+0200 (SAST), 3162, 2151, 11973
Wed Jun 07 2017 09:00:02 GMT+0200 (SAST), 3162, 2151, 11973
Wed Jun 07 2017 10:00:46 GMT+0200 (SAST), 3162, 2151, 11973
Wed Jun 07 2017 12:22:00 GMT+0200 (SAST), 3163, 2150, 11975
Wed Jun 07 2017 13:00:01 GMT+0200 (SAST), 3163, 2150, 11976
Wed Jun 07 2017 14:34:09 GMT+0200 (SAST), 3165, 2150, 11976
Wed Jun 07 2017 15:00:02 GMT+0200 (SAST), 3165, 2150, 11976
Wed Jun 07 2017 16:45:51 GMT+0200 (SAST), 3165, 2150, 11976
Wed Jun 07 2017 17:00:01 GMT+0200 (SAST), 3165, 2150, 11976
Wed Jun 07 2017 18:00:01 GMT+0200 (SAST), 3165, 2150, 11976
Thu Jun 08 2017 07:06:19 GMT+0200 (SAST), undefined, undefined, undefined
Thu Jun 08 2017 08:41:19 GMT+0200 (SAST), 3167, 2150, 11976
Thu Jun 08 2017 09:00:04 GMT+0200 (SAST), 3167, 2150, 11976
Thu Jun 08 2017 11:22:05 GMT+0200 (SAST), 3166, 2151, 11976
Thu Jun 08 2017 12:03:00 GMT+0200 (SAST), 3166, 2151, 11976
Thu Jun 08 2017 13:00:05 GMT+0200 (SAST), 3166, 2151, 11976
Thu Jun 08 2017 14:00:03 GMT+0200 (SAST), 3166, 2151, 11976
